ERA,MapSPAM,,,,
Arabica,arabica coffee,,,,
Banana Sweet,banana,,,,
Barley,barley,,,,
Common Bean,bean,,,,
Cassava,cassava,,,,
Chickpea,chickpea,,,,
Cocoa,cocoa,,,,
Coconut,coconut,,,,
Cotton,cotton,,,,
Cowpea,cowpea,,,,
Groundnut,groundnut,,,,
Lentil,lentil,,,,
Maize,maize,,,,
Not in ERA,oilpalm,,,,
NA,other cereals,,,,
NA,other fibre crops,,,,
NA,other oil crops,,,,
NA,other pulses,,,,
NA,other roots,,,,
Pearl Millet,pearl millet,,,,
Pigeon Pea,pigeonpea,,,,
Cooking Banana,plantain,,,,
Potato,potato,,,,
Rape,rapeseed,,,,
Rice,rice,,,,
Robusta,robusta coffee,,,,
Sesame,sesameseed,,,,
Pearl Millet,small millet,,,,`
Sorghum,sorghum,,,,
Soybean,soybean,,,,
Sugar Beet,sugarbeet,,,,
Sugar Cane,sugarcane,,,,
Sunflower,sunflower,,,,
Sweet Potato,sweet potato,,,,
Tea,tea,,,,
NA,temperate fruit,,,,
Tobacco,tobacco,,,,
NA,tropical fruit,,,,
NA,vegetables,,,,
Wheat,wheat,,,,
Yam,yams,,,,
