EU,Product.Type,Product.Type.Code,Product.Subtype,Product.Subtype.Code,Product.Subtype.Code.Check,Product,Product.Simple,Product.Simple.Code,Product.Code.Check,Component,Latin.Name,Notes,Nfix,Tree,Mulched,Incorp,Unknown.Fate,ECOCROP.Name,ECOCROP.Notes,ICC_Code_1.1,ICC_CropName,Livestock_Group,Livestock_Class,Livestock_Descriptor,CPC_Code_2.1,WFO_Code,UN_Comtrade_Code_1,UN_Comtrade_Description_1,UN_Comtrade_Code_2,UN_Comtrade_Description_2,Ref_Source,Ref_Name,Ref_Link,Ref_Match,Ref_Notes,Ref2_Source,Ref2_Name,Ref2_Link,Ref2_Match,Ref2_Notes
a10,Animal,Animal,Eggs (Stored),Egg,TRUE,Stored Eggs (Chicken),Eggs,Egg,TRUE,NA,,Only to be used for storage papers.,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,146,raising of poultry-production of eggs,no match,NA,40721,"birds' eggs, in shell; fresh, not for incubation, of fowls of the species Gallus domesticus (domestic hens)",,,,,,,,,,,,
a11,Animal,Animal,Eggs (Stored),Egg,TRUE,Stored Eggs (Other),Eggs,Egg,TRUE,NA,,Only to be used for storage papers.,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,146,raising of poultry-production of eggs,no match,NA,407,"birds' eggs, in shell; fresh, preserved or cooked",,,,,,,,,,,,
a5,Animal,Animal,Bovine,Bo,TRUE,Buffalo,Buffalo,Buf,TRUE,Meat,Bubalus bubalis,,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,12,buffaloes,2112,NA,201,meat of bovine animals; fresh or chilled,,,,,,,,,,,,
a6,Animal,Animal,Camelid,Cam,TRUE,Camel (Meat),Camel,Cam,TRUE,Meat,Camelus dromedarius,,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,51,camels,2121,NA,20860,"meat and edible meat offal; of camels and other camelids (Camelidae), fresh, chilled or frozen",,,,,,,,,,,,
a6.1,Animal,Animal,Camelid,Cam,TRUE,Camel (Milk),Camel,Cam,TRUE,Milk,Camelus dromedarius,,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,51,camels,2121,NA,10613,"mammals; live, camels and other camelids (Camelidae)",401,"milk and cream; not concentrated, not containing added sugar or other sweetening matter",,,,,,,,,,
a8,Animal,Animal,Bovine,Bo,TRUE,Cattle (Meat),Cattle,Cat,TRUE,Meat,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,11,cattle,2111,NA,201,meat of bovine animals; fresh or chilled,,,,,,,,,,,,
a8.1,Animal,Animal,Bovine,Bo,TRUE,Cattle (Milk),Cattle,Cat,TRUE,Milk,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,11,cattle,2111,NA,401,"milk and cream; not concentrated, not containing added sugar or other sweetening matter",,,,,,,,,,,,
a13,Animal,Animal,Caprine,Cap,TRUE,Goat (Meat),Goat,Goa,TRUE,Meat,Capra aegagrus hircus,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,22,goats,2123,NA,20450,"meat; of goats, fresh, chilled or frozen",,,,,,,,,,,,
a13.1,Animal,Animal,Caprine,Cap,TRUE,Goat (Milk),Goat,Goa,TRUE,Milk,Capra aegagrus hircus,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,22,goats,2123,NA,10420,Goats; live,401,"milk and cream; not concentrated, not containing added sugar or other sweetening matter",,,,,,,,,,
a16,Animal,Animal,Porcine,Por,TRUE,Pig,Pigs,Pig,TRUE,Meat,Sus scrofa domesticus,,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,swine/ pigs,2140,NA,203,"meat of swine; fresh, chilled or frozen",,,,,,,,,,,,
a18,Animal,Animal,Rodent,Ro,TRUE,Rabbit,Rabbit,Rab,TRUE,Meat,Oryctolagus cuniculus domesticus,,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,72,rabbits and hares,2191,NA,20810,"meat and edible meat offal; of rabbits or hares, fresh, chilled or frozen",,,,,,,,,,,,
a20,Animal,Animal,Caprine,Cap,TRUE,Sheep (Meat),Sheep,Shee,TRUE,Meat,Ovis aries,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,21,sheep,2122,NA,204,"meat of sheep or goats; fresh, chilled or frozen",,,,,,,,,,,,
a20.1,Animal,Animal,Caprine,Cap,TRUE,Sheep (Milk),Sheep,Shee,TRUE,Milk,Ovis aries,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,21,sheep,2122,NA,10410,sheep; live,401,"milk and cream; not concentrated, not containing added sugar or other sweetening matter",,,,,,,,,,
a20.2,Animal,Animal,Caprine,Cap,TRUE,Sheep (Wool),Sheep,Shee,TRUE,Wool,Ovis aries,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,21,sheep,2122,NA,10410,sheep; live,,,,,,,,,,,,
a14,Animal,Animal,Equine,Eq,TRUE,Horse,Horse,Hors,TRUE,Meat,Equus ferus caballus,,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,41,horses,2131,NA,20500,"meat; of horses, asses, mules or hinnies, fresh, chilled or frozen",,,,,,,,,,,,
