ERA,MapSPAM,MapSPAM_code
Arabica,arabica coffee,ACOF
Banana Sweet,banana,BANA
Barley,barley,BARL
Common Bean,bean,BEAN
Cassava,cassava,CASS
Chickpea,chickpea,CHIC
Cocoa,cocoa,CNUT
Coconut,coconut,COCO
Cotton,cotton,COTT
Cowpea,cowpea,COWP
Groundnut,groundnut,GROU
Lentil,lentil,LENT
Maize,maize,MAIZ
NA,oilpalm,OILP
NA,other cereals,OCER
NA,other fibre crops,OFIB
NA,other oil crops,OOIL
NA,other pulses,OPUL
NA,other roots,ORTS
Pearl Millet,pearl millet,PMIL
Pigeon Pea,pigeonpea,PIGE
Cooking Banana,plantain,PLNT
Potato,potato,POTA
Rape,rapeseed,RAPE
Rice,rice,RICE
Robusta,robusta coffee,RCOF
Sesame,sesameseed,SESA
NA,small millet,SMIL
Sorghum,sorghum,SORG
Soybean,soybean,SOYB
Sugar Beet,sugarbeet,SUGB
Sugar Cane,sugarcane,SUGC
Sunflower,sunflower,SUNF
Sweet Potato,sweet potato,SWPO
Tea,tea,TEAS
NA,temperate fruit,TEMF
Tobacco,tobacco,TOBA
NA,tropical fruit,TROF
NA,vegetables,VEGE
Wheat,wheat,WHEA
Yam,yams,YAMS
