Practice,Outcome,Product,Observations,Studies,Value,Sig,Value.se,CIlow,CIhigh
Inorganic Fertilizer,Crop Yield,Maize,9066,284,1233.12695,0,50.16135,1134.81251,1331.44139
Reduced Tillage,Crop Yield,Maize,2560,113,390.89984,0,63.34146,266.75286,515.04681
Mulch (Trees),Crop Yield,Maize,2925,107,1038.06436,0,100.48389,841.11955,1235.00916
Mulch (Herbs),Crop Yield,Maize,2268,105,752.54061,0,63.82183,627.45212,877.6291
Organic Fertilizer,Crop Yield,Maize,1556,94,1294.89048,0,72.17212,1153.43573,1436.34523
Intercropping,Crop Yield,Maize,1791,90,153.33579,0.03566,71.93092,12.35379,294.3178
Crop Rotation,Crop Yield,Maize,1259,68,745.80814,0,102.39602,545.11563,946.50066
Alleycropping,Crop Yield,Maize,1435,66,371.75322,0.00167,111.808,152.61356,590.89288
Water Harvesting,Crop Yield,Maize,929,62,556.36184,0,99.44823,361.44689,751.27679
Green Manure,Crop Yield,Maize,1168,61,726.90375,0,96.87915,537.02411,916.7834
Crop Residue Incorporation,Crop Yield,Maize,885,56,705.2926,0,113.48779,482.86062,927.72459
Inorganic Fertilizer,Crop Yield,Rice,1552,53,1239.54267,0,125.92698,992.73032,1486.35503
Inorganic Fertilizer,Crop Yield,Pearl Millet,1688,48,290.56332,0,44.58089,203.18638,377.94026
Inorganic Fertilizer,Crop Yield,Sorghum,991,36,666.12576,0,96.60665,476.78021,855.47131
Inorganic Fertilizer,Crop Yield,Cowpea,747,35,209.18462,0.00146,61.8498,87.96125,330.40799
Inorganic Fertilizer,Crop Yield,Common Bean,693,30,264.86519,0.00001,52.84791,161.28519,368.44518
Intercropping,Crop Yield,Cowpea,319,29,-275.11713,0.00033,68.37527,-409.1302,-141.10405
Inorganic Fertilizer,Crop Yield,Soybean,432,28,355.88825,0,55.24067,247.61852,464.15797
Inorganic Fertilizer,Crop Yield,Cassava,620,28,4017.87466,0,650.98799,2741.96165,5293.78767
Organic Fertilizer,Crop Yield,Sorghum,634,27,744.6547,0,91.72397,564.87903,924.43037
Inorganic Fertilizer,Crop Yield,Groundnut,329,26,193.37657,0.00027,46.77528,101.69872,285.05443
Organic Fertilizer,Crop Yield,Pearl Millet,403,25,337.3335,0.00005,68.7989,202.49013,472.17688
Improved Varieties,Crop Yield,Maize,508,24,692.25191,0.00015,155.78477,386.91936,997.58446
Intercropping,Crop Yield,Cassava,405,21,-1380.13254,0.19943,1038.5202,-3415.59472,655.32964
Inorganic Fertilizer,Crop Yield,Wheat,279,20,807.76002,0.01221,295.77506,228.05155,1387.46849
Reduced Tillage,Crop Yield,Cowpea,236,20,61.52398,0.13513,38.28876,-13.52062,136.56858
Water Harvesting,Crop Yield,Sorghum,292,20,485.54448,0.00167,131.5709,227.67026,743.41869
