Practice,Crop,N_Obs,N_Pub,Mean_T,Mean_C,Mean_Difference,Se,Lower,Upper
Inorganic Fertilizer,Maize,9066,284,2907.95846,1727.62414,1233.12695,50.16135,1134.81251,1331.44139
Reduced Tillage,Maize,2560,113,2712.02681,2060.95621,390.89984,63.34146,266.75286,515.04681
Mulch (Trees),Maize,2925,107,2438.48693,1650.84691,1038.06436,100.48389,841.11955,1235.00916
Mulch (Herbs),Maize,2268,105,3040.53695,2250.82777,752.54061,63.82183,627.45212,877.6291
Organic Fertilizer,Maize,1556,94,2347.57006,1284.12375,1294.89048,72.17212,1153.43573,1436.34523
Intercropping,Maize,1791,90,3393.76237,2584.09362,153.33579,71.93092,12.35379,294.3178
Crop Rotation,Maize,1259,68,2393.84095,1724.76221,745.80814,102.39602,545.11563,946.50066
Alleycropping,Maize,1435,66,2227.39435,1715.27687,371.75322,111.808,152.61356,590.89288
Water Harvesting,Maize,929,62,2660.30038,1632.58106,556.36184,99.44823,361.44689,751.27679
Green Manure,Maize,1168,61,2655.13126,2062.5135,726.90375,96.87915,537.02411,916.7834
Crop Residue Incorporation,Maize,885,56,2872.57494,2185.08257,705.2926,113.48779,482.86062,927.72459
Inorganic Fertilizer,Rice,1552,53,3688.10861,2461.06023,1239.54267,125.92698,992.73032,1486.35503
Inorganic Fertilizer,Pearl Millet,1688,48,1231.06445,536.0114,290.56332,44.58089,203.18638,377.94026
Inorganic Fertilizer,Sorghum,991,36,1676.82631,719.58558,666.12576,96.60665,476.78021,855.47131
Inorganic Fertilizer,Cowpea,747,35,769.60191,619.07372,209.18462,61.8498,87.96125,330.40799
Inorganic Fertilizer,Common Bean,693,30,1184.49365,926.79378,264.86519,52.84791,161.28519,368.44518
Intercropping,Cowpea,319,29,578.9456,879.05129,-275.11713,68.37527,-409.1302,-141.10405
Inorganic Fertilizer,Soybean,432,28,1138.18961,792.13717,355.88825,55.24067,247.61852,464.15797
Inorganic Fertilizer,Cassava,620,28,18515.43033,14943.19743,4017.87466,650.98799,2741.96165,5293.78767
Organic Fertilizer,Sorghum,634,27,2062.12893,1172.75825,744.6547,91.72397,564.87903,924.43037
Inorganic Fertilizer,Groundnut,329,26,1236.3476,990.74693,193.37657,46.77528,101.69872,285.05443
Organic Fertilizer,Pearl Millet,403,25,875.72449,512.79204,337.3335,68.7989,202.49013,472.17688
Improved Varieties,Maize,508,24,3006.30658,2427.54172,692.25191,155.78477,386.91936,997.58446
Intercropping,Cassava,405,21,16356.13394,17344.07808,-1380.13254,1038.5202,-3415.59472,655.32964
Inorganic Fertilizer,Wheat,279,20,3343.81127,2411.1886,807.76002,295.77506,228.05155,1387.46849
Reduced Tillage,Cowpea,236,20,752.83092,687.36641,61.52398,38.28876,-13.52062,136.56858
Water Harvesting,Sorghum,292,20,1960.7536,1511.19815,485.54448,131.5709,227.67026,743.41869
Reduced Tillage,Sorghum,422,19,1602.28326,683.9701,245.15923,138.83418,-26.95075,517.26921
pH Control,Maize,366,19,3801.9438,2767.85556,1033.10168,163.2922,713.05484,1353.14852
Improved Fallow,Maize,416,18,2365.98794,1573.3336,1239.55379,174.85859,896.83725,1582.27032
Mulch (Herbs),Sorghum,285,16,1357.81904,1216.93427,267.66501,60.47196,149.14215,386.18787
Deficit Irrigation,Maize,261,15,5030.82345,6244.15201,-1060.34785,237.01768,-1524.89397,-595.80173
Organic Fertilizer,Common Bean,205,15,1282.80373,867.02505,434.49043,170.72695,99.87176,769.1091
Agroforestry Fallow,Maize,315,15,2426.34463,1353.99924,1200.70155,225.07367,759.56527,1641.83783
Mulch (Herbs),Cowpea,226,13,634.07388,460.7024,242.37575,93.0012,60.09675,424.65475
Reduced Tillage,Soybean,100,13,783.64276,771.99542,-19.5101,56.88771,-131.00795,91.98775
Reduced Tillage,Wheat,186,12,2784.87555,2763.66751,134.38511,142.95868,-145.80876,414.57898
Mulch (Trees),Pearl Millet,90,12,873.53334,534.64258,373.63368,71.91276,232.68726,514.58011
Mulch (Trees),Cowpea,161,12,607.99622,664.85042,75.65708,149.97812,-218.29464,369.6088
Mulch (Herbs),Pearl Millet,368,11,907.29696,564.81003,219.71054,54.64153,112.61511,326.80597
Improved Varieties,Cowpea,518,11,6769.58382,6829.06093,-25.39358,133.34469,-286.74437,235.95721
Improved Varieties,Cassava,521,11,21350.94907,18018.91912,3836.25543,1217.18864,1450.60953,6221.90133
Alleycropping,Cassava,179,11,7719.8229,8037.31341,-416.68216,537.74106,-1470.63527,637.27096
Alleycropping,Common Bean,197,11,611.19356,654.03703,-18.6238,62.68486,-141.48387,104.23628
Intercropping,Soybean,131,11,1292.32167,2111.02243,-760.66216,159.90126,-1074.06287,-447.26144
Supplemental Irrigation,Maize,183,10,1028.90823,758.79636,978.12635,726.02321,-444.853,2401.1057
Mulch (Herbs),Rice,133,10,3383.58804,3117.63903,306.41248,292.21754,-266.32338,879.14834
Organic Fertilizer,Soybean,198,10,1322.03069,730.9765,580.5375,93.85858,396.57807,764.49693
Organic Fertilizer,Cowpea,113,10,794.43666,465.77889,383.91958,84.63397,218.04006,549.79911
Water Harvesting,Cowpea,76,10,498.09813,507.91062,-4.09065,44.26447,-90.84741,82.66612
Mulch (Trees),Common Bean,194,10,943.61261,832.2042,183.0447,97.34398,-7.74601,373.8354
Mulch (Trees),Cassava,196,10,6251.16686,6393.66222,-75.56537,234.70019,-535.56928,384.43855
Inorganic Fertilizer,Yam,80,9,13031.31313,8920.94949,3694.79196,1236.17534,1271.93281,6117.65111
Mulch (Herbs),Wheat,91,9,3005.77895,2748.64805,331.55358,185.81953,-32.64601,695.75317
Reduced Tillage,Rice,62,9,3424.72151,3590.48629,-155.63205,245.91897,-637.62438,326.36029
Organic Fertilizer,Groundnut,90,9,1293.37993,936.92069,298.59838,83.20739,135.51489,461.68186
Improved Varieties,Rice,339,9,3925.66274,2621.42627,782.51818,220.14866,351.03474,1214.00161
Mulch (Trees),Sorghum,163,9,1217.19631,1002.58574,218.93204,55.73393,109.69554,328.16854
Alleycropping,Cowpea,88,9,575.93953,741.68462,-148.93157,86.64766,-318.75785,20.89472
Alleycropping,Groundnut,63,9,652.99412,672.15756,-18.94198,42.95281,-103.12794,65.24398
Intercropping,Sorghum,120,9,1452.40139,1433.18517,42.88098,54.62056,-64.17335,149.93531
Deficit Irrigation,Wheat,129,8,4640.05628,6153.89872,-1468.93389,457.18246,-2364.99505,-572.87273
Reduced Tillage,Pearl Millet,53,8,1453.77877,547.61637,401.2488,283.26907,-153.94837,956.44597
Crop Rotation,Sorghum,105,8,1876.19035,1483.83728,489.15863,157.44785,180.56651,797.75074
Crop Residue Incorporation,Wheat,55,7,3630.566,3211.91,380.9413,162.93546,61.59366,700.28894
Crop Residue Incorporation,Cassava,124,7,17669.59402,16254.00946,1690.77076,1114.95308,-494.49713,3876.03865
Crop Residue Incorporation,Common Bean,20,7,463.07407,409.45679,54.87663,29.43133,-2.80772,112.56097
Mulch (Herbs),Cassava,93,7,17566.35948,14363.92157,2991.40569,1916.38503,-764.63994,6747.45132
Reduced Tillage,Cotton,60,7,1767.92689,1935.56287,-143.96167,86.21598,-312.94189,25.01855
Organic Fertilizer,Cassava,166,7,24216.33787,16928.63946,7253.99968,1271.89709,4761.12719,9746.87216
Parklands,Pearl Millet,73,7,433.35889,431.24067,70.23799,101.75754,-129.20313,269.6791
Green Manure,Sorghum,96,7,1890.82126,1234.8509,786.92687,219.90648,355.91808,1217.93565
Green Manure,Common Bean,31,7,372.22222,345.08889,19.93921,40.33151,-59.10909,98.98752
Crop Rotation,Pearl Millet,195,7,908.84271,706.46389,250.73294,63.19939,126.8644,374.60147
Intercropping,Pearl Millet,169,7,631.4947,727.62547,-113.0164,81.0635,-271.89793,45.86513
Inorganic Fertilizer,Cotton,124,6,1457.33775,1130.04836,332.70865,130.16497,77.58998,587.82731
Inorganic Fertilizer,Teff,111,6,1550.26188,888.62318,888.1865,175.3504,544.50603,1231.86697
Inorganic Fertilizer,Tomato,39,6,31724.79365,14596.8254,18592.23915,6400.05888,6048.35425,31136.12405
Deficit Irrigation,Potato,73,6,18632.16129,23700.25654,-4935.39525,1479.04838,-7834.27682,-2036.51369
Crop Residue Incorporation,Sorghum,108,6,1185.43571,937.74821,258.22483,51.84734,156.6059,359.84376
Crop Residue Incorporation,Rice,105,6,2557.78554,1622.49486,1642.1803,418.50908,821.91756,2462.44303
Mulch (Herbs),Sugar Cane,78,6,79893.60128,77844.91929,2227.34958,3891.65101,-5400.14623,9854.84539
Mulch (Herbs),Common Bean,22,6,942.65613,831.01639,81.20835,49.13895,-15.10223,177.51893
Mulch (Herbs),Groundnut,77,6,1090.62459,962.69044,145.21669,61.2643,25.14087,265.29251
Reduced Tillage,Cassava,29,6,8184.90196,9378.03922,-1193.13725,591.01222,-2351.49992,-34.77458
Organic Fertilizer,Rice,60,6,4878.69268,3472.69162,1284.16882,586.58251,134.48822,2433.84942
Improved Varieties,Sorghum,113,6,2055.35739,1675.3242,315.65503,128.85589,63.10213,568.20792
Water Harvesting,Pearl Millet,129,6,649.95417,447.74578,293.08862,68.73111,158.37813,427.79911
Mulch (Trees),Groundnut,62,6,829.34819,825.8484,-17.30404,64.09406,-142.92608,108.318
Boundary Planting,Maize,185,6,3116.63468,2773.02066,169.7861,231.64711,-284.23389,623.8061
Parklands,Sorghum,36,6,503.35662,674.49867,-227.24924,203.27071,-625.65251,171.15403
Crop Rotation,Cowpea,85,6,960.5136,949.47135,-41.45073,116.51597,-269.81784,186.91637
Intercropping,Common Bean,61,6,1069.48601,1646.21457,-607.60929,215.60052,-1030.17854,-185.04005
Inorganic Fertilizer,Pigeon Pea,159,5,437.57311,433.28194,2.43127,15.4152,-27.78196,32.6445
Inorganic Fertilizer,Chickpea,40,5,1983.66598,1575.00825,408.65773,57.89905,295.17768,522.13778
Inorganic Fertilizer,Okra,49,5,2504.87336,1581.09984,900.47026,189.92095,528.23203,1272.70848
Inorganic Fertilizer,Potato,154,5,11433.48004,8804.22032,2230.74376,407.79067,1431.48873,3029.99879
Inorganic Fertilizer,Sweet Potato,126,5,22645.07837,14524.3497,10642.50917,2974.64895,4812.30436,16472.71397
Inorganic Fertilizer,Fodder Legume,36,5,4992.58884,2675.25083,1656.08399,973.833,-252.59361,3564.76159
Inorganic Fertilizer,Barley,217,5,3831.20229,2491.69931,1356.02827,341.33035,687.03309,2025.02346
Deficit Irrigation,Olive,48,5,18050.60546,20504.65184,-2180.40159,1715.57183,-5542.86059,1182.0574
Deficit Irrigation,Rice,17,5,3932.86071,4454.75714,-739.76375,340.89624,-1407.9081,-71.6194
Supplemental Irrigation,Sorghum,48,5,2062.3446,924.40076,1327.20359,561.23569,227.20186,2427.20533
Mulch (Herbs),Tomato,30,5,21055.732,14875.40933,6320.39518,1933.64945,2530.5119,10110.27847
Reduced Tillage,Teff,20,5,970.18148,836.4,-8.52168,112.35981,-228.74285,211.69949
Organic Fertilizer,Tomato,37,5,41594.24561,25024.52632,18369.96511,8882.57098,960.4459,35779.48431
Improved Varieties,Wheat,195,5,5498.37562,5152.02363,374.96404,325.40078,-262.80977,1012.73785
Alleycropping,Sorghum,74,5,1700.38991,1267.35435,262.74552,164.86304,-60.38011,585.87115
Alleycropping,Pearl Millet,39,5,982.10084,597.42297,384.67787,72.04721,238.82593,530.52982
Green Manure,Rice,129,5,2061.99315,1324.56875,556.79272,151.58254,259.6964,853.88904
